Activity ID,Activity Status,WBS Code,At Completion Duration(d),Activity Name,Start,Finish,(*)Free Float(d),Total Float,Predecessors,Predecessor Details,Successors,Successor Details,Primary Constraint,Activity Type,Duration Type,Delete This Row
A30830,Not Started,Hercules_15082023-6.COMMISSIONING.MC,0,MC WAI (Industrial Waste),,19/01/2024 17:00,6,6,A34320,A34320: FF,"A21710, A4930","A21710: FS, A4930: FF",,Finish Milestone,Fixed Duration and Units/Time,
A7410,Not Started,Hercules_15082023-6.COMMISSIONING.MC,0,MC Process Air,,23/01/2024 17:00,0,4,A7580,A7580: FF,"A21710, A21760, A21570, A4930","A21710: FS, A21760: FS, A21570: FS, A4930: FF",,Finish Milestone,Fixed Duration and Units/Time,
A7490,Not Started,Hercules_15082023-6.COMMISSIONING.MC,0,MC WFI,,23/01/2024 17:00,13,4,A7660,A7660: FF,"A21760, A4930","A21760: FS, A4930: FF",,Finish Milestone,Fixed Duration and Units/Time,
A7390,Not Started,Hercules_15082023-6.COMMISSIONING.MC,0,MC Chilled Water Supply 7 13,,01/02/2024 17:00,0,-3,A7560,A7560: FF,"A21760, A21690, A4930","A21760: FS, A21690: FS, A4930: FF",,Finish Milestone,Fixed Duration and Units/Time,
A34380,Not Started,Hercules_15082023-6.COMMISSIONING.MC,0,MC LV PANEL BOARD BE-79i-3030-SS-006 (2nd Feb 24),,02/02/2024 16:00,0,-4,,,"A21710, A21760","A21710: FS -4, A21760: FS",Finish On,Finish Milestone,Fixed Duration and Units/Time,
A7930,Not Started,Hercules_15082023-6.COMMISSIONING.MC,0,MC Fermenter,,09/02/2024 16:00,0,6,"A1470, A1460, A1420","A1470: FS, A1460: FS 19, A1420: FS","A21740, A31180","A21740: FS, A31180: FF",,Finish Milestone,Fixed Duration and Units/Time,
A30870,Not Started,Hercules_15082023-6.COMMISSIONING.MC,0,MC Centrifuge,,09/02/2024 16:00,10,6,"A1470, A1460, A1410","A1470: FS, A1460: FS 19, A1410: FF","A21740, A4930","A21740: FS, A4930: FF",,Finish Milestone,Fixed Duration and Units/Time,
A30880,Not Started,Hercules_15082023-6.COMMISSIONING.MC,0,MC Skid tanks,,09/02/2024 16:00,10,6,"A1470, A1460, A1400","A1470: FS, A1460: FS 19, A1400: FF","A21740, A4930","A21740: FS, A4930: FF",,Finish Milestone,Fixed Duration and Units/Time,
A7400,Not Started,Hercules_15082023-6.COMMISSIONING.MC,0,MC Chilled Water Return 13 17,,14/02/2024 17:00,0,-9,A7570,A7570: FF,"A21760, A21720, A4930","A21760: FS -3, A21720: FS, A4930: FF",,Finish Milestone,Fixed Duration and Units/Time,
A30820,Not Started,Hercules_15082023-6.COMMISSIONING.MC,0,MC BMS,,15/02/2024 17:00,0,-3,A34210,A34210: FF,"A40290, A21710, A21760, A4930, A21750, A7510","A40290: FS, A21710: FF -5, A21760: FF, A4930: FF, A21750: FS, A7510: FF",,Finish Milestone,Fixed Duration and Units/Time,
A30900,Not Started,Hercules_15082023-6.COMMISSIONING.MC,0,MC Part Washers,,16/02/2024 16:00,5,0,"A33940, A33950, A33960, A4010, A4020, A4000, A33930, A4060","A33940: FF, A33950: FF, A33960: FF, A4010: FF, A4020: FF, A4000: FF, A33930: FF, A4060: FF","A21780, A4930","A21780: FS, A4930: FF",Finish On,Finish Milestone,Fixed Duration and Units/Time,
A30910,Not Started,Hercules_15082023-6.COMMISSIONING.MC,0,MC Decon Autoclave,,26/02/2024 15:00,0,0,"A3420, A3430, A3440, A3450, A3460","A3420: FF, A3430: FF, A3440: FF, A3450: FF, A3460: FF","A21600, A4930","A21600: FS, A4930: FF",Finish On,Finish Milestone,Fixed Duration and Units/Time,
A30890,Not Started,Hercules_15082023-6.COMMISSIONING.MC,0,MC Steriliser Autoclaves,,26/02/2024 16:00,0,0,"A4200, A33820, A33830, A33870","A4200: FF, A33820: FF, A33830: FF, A33870: FF","A21790, A21790, A4930","A21790: FF, A21790: FS, A4930: FF",Finish On,Finish Milestone,Fixed Duration and Units/Time,
A7500,Not Started,Hercules_15082023-6.COMMISSIONING.MC,0,MC GMS,,01/03/2024 09:00,0,2,A34170,A34170: FF,"A4930, A21920, A7510","A4930: FF, A21920: FS, A7510: FF",,Finish Milestone,Fixed Duration and Units/Time,
A30800,Not Started,Hercules_15082023-6.COMMISSIONING.MC,0,MC EMS,,01/03/2024 17:00,0,-4,A34180,A34180: FF,"A4930, A21750, A21810, A34430, A34440, A34450","A4930: FF, A21750: FS, A21810: FS, A34430: FS, A34440: FS, A34450: FS",,Finish Milestone,Fixed Duration and Units/Time,
A34160,Not Started,Hercules_15082023-6.COMMISSIONING.MC,0,MC BMS Server,,13/03/2024 17:00,0,93,"A33470, A33560, A33110, A32840","A33470: FF, A33560: FF, A33110: FF, A32840: FF","A40290, A7510","A40290: FS, A7510: FF",,Finish Milestone,Fixed Duration and Units/Time,
A7510,Not Started,Hercules_15082023-6.COMMISSIONING.MC,0,MC All Electrical Systems,,13/03/2024 17:00,0,93,"A30820, A34160, A7500","A30820: FF, A34160: FF, A7500: FF","A4930, A21770","A4930: FF, A21770: FS",,Finish Milestone,Fixed Duration and Units/Time,
A30860,Not Started,Hercules_15082023-6.COMMISSIONING.MC,0,MC ExPEC Facilities,,27/03/2024 17:00,0,93,A7360,A7360: FF,A4930,A4930: FF,,Finish Milestone,Fixed Duration and Units/Time,
A7670,Not Started,Hercules_15082023-6.COMMISSIONING.MC,0,MC Fill Finish Facilities,,27/03/2024 17:00,0,93,A7360,A7360: FF,A4930,A4930: FF,,Finish Milestone,Fixed Duration and Units/Time,
A7910,Not Started,Hercules_15082023-6.COMMISSIONING.MC,0,MC LVHD Facilities,,27/03/2024 17:00,0,93,A7360,A7360: FF,A4930,A4930: FF,,Finish Milestone,Fixed Duration and Units/Time,
A7360,Not Started,Hercules_15082023-6.COMMISSIONING.MC,0,MC HVAC AHUs,,27/03/2024 17:00,0,38,"A7550, A34270, A34290, A34280","A7550: FF, A34270: FF, A34290: FF, A34280: FF","A30860, A7670, A7910, A4930, A21750","A30860: FF, A7670: FF, A7910: FF, A4930: FF, A21750: FS",,Finish Milestone,Fixed Duration and Units/Time,
A39650,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready,0,122 Walkdown 3 Room Handover,,29/08/2023 08:00,235,235,,,,,,Finish Milestone,Fixed Duration and Units/Time,
A39670,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready,0,126 Walkdown 3 Room Handover,,30/08/2023 17:00,233,233,A29460,A29460: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39680,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready,0,127.1 Walkdown 3 Room Handover,,31/08/2023 17:00,232,232,A29470,A29470: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39690,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready,0,127.2 Walkdown 3 Room Handover,,01/09/2023 17:00,231,231,A29480,A29480: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39700,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready,0,127.3 Walkdown 3 Room Handover,,04/09/2023 17:00,230,230,A29490,A29490: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39710,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready,0,127.4 Walkdown 3 Room Handover,,05/09/2023 17:00,229,229,A29500,A29500: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39720,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready,0,Changing Area Walkdown 3 Room Handover,,28/09/2023 17:00,212,212,A5120,A5120: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39660,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready,0,125 Walkdown 3 Room Handover,,11/12/2023 16:00,160,160,"A5060, A33750","A5060: FF, A33750: FF",,,,Finish Milestone,Fixed Duration and Units/Time,
A39920,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Blue,0,205 Walkdown 3 Room Handover,,29/08/2023 08:00,235,235,,,,,,Finish Milestone,Fixed Duration and Units/Time,
A39900,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Blue,0,214 Walkdown 3 Room Handover,,29/08/2023 17:00,234,234,A2150,A2150: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39930,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Blue,0,215 Walkdown 3 Room Handover,,29/08/2023 17:00,234,234,A2160,A2160: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39950,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Blue,0,217 Walkdown 3 Room Handover,,29/08/2023 17:00,234,234,A2170,A2170: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39990,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Blue,0,221 Walkdown 3 Room Handover,,29/08/2023 17:00,234,234,A1170,A1170: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40030,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Blue,0,225 Walkdown 3 Room Handover,,29/08/2023 17:00,234,234,A1620,A1620: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39870,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Blue,0,203 Walkdown 3 Room Handover,,18/09/2023 17:00,220,220,A1690,A1690: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39940,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Blue,0,216 Walkdown 3 Room Handover,,27/09/2023 17:00,213,213,A7750,A7750: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39960,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Blue,0,218 Walkdown 3 Room Handover,,29/09/2023 17:00,211,211,A7760,A7760: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39970,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Blue,0,219 Walkdown 3 Room Handover,,02/10/2023 17:00,210,210,A7770,A7770: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39980,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Blue,0,220 Walkdown 3 Room Handover,,03/10/2023 17:00,209,209,A7780,A7780: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39880,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Blue,0,204 Walkdown 3 Room Handover,,04/10/2023 17:00,208,208,"A1800, A1790","A1800: FF, A1790: FF",,,,Finish Milestone,Fixed Duration and Units/Time,
A40000,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Blue,0,222 Walkdown 3 Room Handover,,10/10/2023 17:00,204,204,A1160,A1160: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39910,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Blue,0,206 Walkdown 3 Room Handover,,19/10/2023 17:00,197,197,"A1970, A1960, A1950","A1970: FF, A1960: FF, A1950: FF",,,,Finish Milestone,Fixed Duration and Units/Time,
A39890,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Blue,0,207 Walkdown 3 Room Handover,,03/11/2023 17:00,186,186,A2090,A2090: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40010,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Blue,0,223 Walkdown 3 Room Handover,,16/02/2024 16:00,121,121,A1610,A1610: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40020,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Blue,0,224 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A2110,A2110: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40040,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Blue,0,229 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A1830,A1830: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39840,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Blue,0,200 Walkdown 3 Room Handover,,08/03/2024 17:00,106,106,A1680,A1680: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39850,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Blue,0,201 Walkdown 3 Room Handover,,08/03/2024 17:00,106,106,A1650,A1650: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39860,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Blue,0,202 Walkdown 3 Room Handover,,08/03/2024 17:00,106,106,A2130,A2130: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40080,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Green,0,211 Walkdown 3 Room Handover,,29/08/2023 17:00,234,234,A2600,A2600: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40160,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Green,0,238 Walkdown 3 Room Handover,,29/08/2023 17:00,234,234,A3230,A3230: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40140,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Green,0,235 Walkdown 3 Room Handover,,30/08/2023 17:00,233,233,A3110,A3110: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40170,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Green,0,239 Walkdown 3 Room Handover,,30/08/2023 17:00,233,233,A3250,A3250: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40130,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Green,0,237 Walkdown 3 Room Handover,,11/09/2023 17:00,225,225,A7810,A7810: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40120,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Green,0,232.1 Walkdown 3 Room Handover,,13/09/2023 17:00,223,223,A3080,A3080: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40150,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Green,0,236 Walkdown 3 Room Handover,,03/10/2023 17:00,209,209,"A3220, A6690","A3220: FF, A6690: FF",,,,Finish Milestone,Fixed Duration and Units/Time,
A40110,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Green,0,232 Walkdown 3 Room Handover,,17/10/2023 17:00,199,199,A3060,A3060: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40050,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Green,0,240 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A2380,A2380: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40060,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Green,0,242 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A2480,A2480: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40070,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Green,0,241 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A2590,A2590: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40090,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Green,0,212 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A2620,A2620: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40100,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Green,0,213 / 265 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,"A2900, A33870, A33980","A2900: FF, A33870: FF, A33980: FF",,,,Finish Milestone,Fixed Duration and Units/Time,
A40180,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Green,0,209 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A3270,A3270: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40190,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Green,0,210 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,"A3280, A3290","A3280: FF, A3290: FF",,,,Finish Milestone,Fixed Duration and Units/Time,
A40200,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Green,0,208 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A3310,A3310: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39790,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.White,0,252 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A4740,A4740: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39800,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.White,0,252.1 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A4700,A4700: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39810,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.White,0,257 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A4620,A4620: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39820,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.White,0,258 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A4660,A4660: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39830,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.White,0,251 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A4760,A4760: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40240,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Yellow,0,233 Walkdown 3 Room Handover,,29/08/2023 17:00,234,234,A3640,A3640: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40270,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Yellow,0,246 Walkdown 3 Room Handover,,08/09/2023 17:00,226,226,A7850,A7850: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40260,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Yellow,0,247 Walkdown 3 Room Handover,,15/09/2023 17:00,221,221,A3700,A3700: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40230,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Yellow,0,259 / 259.1 / 260 / 245 Walkdown 3 Room Handover,,24/11/2023 17:00,171,171,A3630,A3630: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40250,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Yellow,0,244 Walkdown 3 Room Handover,,24/11/2023 17:00,171,171,A3630,A3630: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39730,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Yellow,0,248 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A3900,A3900: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39740,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Yellow,0,262 / 268 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A4070,A4070: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39750,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Yellow,0,267 (228) Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A4250,A4250: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39760,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Yellow,0,261.1 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A4350,A4350: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39770,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Yellow,0,231 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A4460,A4460: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A39780,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Yellow,0,261 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A4600,A4600: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40210,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Yellow,0,243 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A3360,A3360: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40220,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Yellow,0,266 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A3470,A3470: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40280,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.1.Ready1.Yellow,0,249 Walkdown 3 Room Handover,,04/03/2024 17:00,110,110,A3810,A3810: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A40300,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.Comm,10,Walkdown 1 & Punch List & Walkdown 2 & Closure Heat Recovery,12/12/2023 08:00,08/01/2024 17:00,0,140,"A32400, A32200, A32000","A32400: FS, A32200: FS, A32000: FS",A30850,A30850: FF,,Task Dependent,Fixed Duration and Units/Time,
A34340,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.Comm,10,Walkdown 1 & Punch List & Walkdown 2 & Closure Domestic Water,13/12/2023 08:00,09/01/2024 17:00,0,14,A34330,A34330: FS,A34350,A34350: FF,,Task Dependent,Fixed Duration and Units/Time,
A40500,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.Comm,10,Walkdown 1 & Punch List & Walkdown 2 & Closure Sewage (Foul) Water,13/12/2023 08:00,09/01/2024 17:00,0,139,"A32310, A32510","A32310: FS, A32510: FS",A40510,A40510: FF,,Task Dependent,Fixed Duration and Units/Time,
A7590,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.Comm,10,Walkdown 1 & Punch List & Walkdown 2 & Closure AP Water,21/12/2023 08:00,17/01/2024 17:00,0,8,A34220,A34220: FS,A7420,A7420: FF,,Task Dependent,Fixed Duration and Units/Time,
A7630,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.Comm,10,Walkdown 1 & Punch List & Walkdown 2 & Closure Pure Steam Condensate,21/12/2023 08:00,17/01/2024 17:00,0,8,A34360,A34360: FS,A7460,A7460: FF,,Task Dependent,Fixed Duration and Units/Time,
A34150,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.Comm,10,Walkdown 1 & Punch List & Walkdown 2 & Closure LTHW,22/12/2023 08:00,18/01/2024 17:00,0,142,"A32000, A32200, A32400, A32600","A32000: FS, A32200: FS, A32400: FS, A32600: FS",A30840,A30840: FF,,Task Dependent,Fixed Duration and Units/Time,
A7530,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.Comm,10,Walkdown 1 & Punch List & Walkdown 2 & Closure Nitrogen,22/12/2023 08:00,18/01/2024 17:00,0,32,"A32600, A32510, A32310, A32000","A32600: FS, A32510: FS, A32310: FS, A32000: FS",A7370,A7370: FF,,Task Dependent,Fixed Duration and Units/Time,
A7540,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.Comm,10,Walkdown 1 & Punch List & Walkdown 2 & Closure Oxygen,22/12/2023 08:00,18/01/2024 17:00,0,32,"A32600, A32510, A32310, A32000","A32600: FS, A32510: FS, A32310: FS, A32000: FS",A7380,A7380: FF,,Task Dependent,Fixed Duration and Units/Time,
A34320,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.Comm,10,Walkdown 1 & Punch List & Walkdown 2 & Closure WAI,08/01/2024 08:00,19/01/2024 17:00,0,6,A34310,A34310: FS,A30830,A30830: FF,,Task Dependent,Fixed Duration and Units/Time,
A7600,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.Comm,10,Walkdown 1 & Punch List & Walkdown 2 & Closure Pure Steam,08/01/2024 08:00,19/01/2024 17:00,0,6,"A32710, A32600, A32510, A32310, A32200, A32000","A32710: FS, A32600: FS, A32510: FS, A32310: FS, A32200: FS, A32000: FS",A7430,A7430: FF,,Task Dependent,Fixed Duration and Units/Time,
A7610,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.Comm,10,Walkdown 1 & Punch List & Walkdown 2 & Closure Softened Water,08/01/2024 08:00,19/01/2024 17:00,0,31,"A32000, A32200, A32510, A32710","A32000: FS, A32200: FS, A32510: FS, A32710: FS",A7440,A7440: FF,,Task Dependent,Fixed Duration and Units/Time,
A7620,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.Comm,10,Walkdown 1 & Punch List & Walkdown 2 & Closure Process Vent,08/01/2024 08:00,19/01/2024 17:00,0,6,"A32710, A32600, A32510, A32310, A32200, A32000","A32710: FS, A32600: FS, A32510: FS, A32310: FS, A32200: FS, A32000: FS",A7450,A7450: FF,,Task Dependent,Fixed Duration and Units/Time,
A7640,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.Comm,10,Walkdown 1 & Punch List & Walkdown 2 & Closure Relief Vent,08/01/2024 08:00,19/01/2024 17:00,0,31,"A32710, A32600, A32510, A32310, A32200, A32000","A32710: FS, A32600: FS, A32510: FS, A32310: FS, A32200: FS, A32000: FS",A7470,A7470: FF,,Task Dependent,Fixed Duration and Units/Time,
A7650,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.Comm,10,Walkdown 1 & Punch List & Walkdown 2 & Closure Plant Steam,08/01/2024 08:00,19/01/2024 17:00,0,6,"A32710, A32600, A32510, A32310, A32200, A32000","A32710: FS, A32600: FS, A32510: FS, A32310: FS, A32200: FS, A32000: FS",A7480,A7480: FF,,Task Dependent,Fixed Duration and Units/Time,
A7580,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.Comm,10,Walkdown 1 & Punch List & Walkdown 2 & Closure Process Air,10/01/2024 08:00,23/01/2024 17:00,0,4,A34250,A34250: FS,A7410,A7410: FF,,Task Dependent,Fixed Duration and Units/Time,
A7660,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.Comm,10,Walkdown 1 & Punch List & Walkdown 2 & Closure WFI,10/01/2024 08:00,23/01/2024 17:00,0,4,A34230,A34230: FS,A7490,A7490: FF,,Task Dependent,Fixed Duration and Units/Time,
A7560,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.Comm,5,Walkdown 1 & Punch List & Walkdown 2 & Closure Chilled Water 7 13,26/01/2024 08:00,01/02/2024 17:00,0,-3,A33500,A33500: FS,A7390,A7390: FF,,Task Dependent,Fixed Duration and Units/Time,
A34210,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.Comm,10,Walkdown 1 & Punch List & Walkdown 2 & Closure BMS,02/02/2024 08:00,15/02/2024 17:00,0,-3,"A32770, A33040, A33400, A33490","A32770: FS, A33040: FS, A33400: FS, A33490: FS","A40290, A30820","A40290: FS, A30820: FF",,Task Dependent,Fixed Duration and Units/Time,
A7570,Not Started,Hercules_15082023-6.COMMISSIONING.Pre-comm.Comm,5,Walkdown 1 & Punch List & Walkdown 2 & Closure Chilled Water 13 17,08/02/2024 08:00,14/02/2024 17:00,0,-9,A34260,A34260: FS,A7400,A7400: FF,,Task Dependent,Fixed Duration and Units/Time,
